,loss,accuracy,val_loss,val_accuracy,lr
0,0.7187337875366211,0.7027574181556702,0.5791162848472595,0.7945020794868469,0.001
1,0.5584548711776733,0.7961112260818481,0.5189827680587769,0.8164079189300537,0.001
2,0.5150747895240784,0.8139674067497253,0.5272923707962036,0.8118058443069458,0.001
3,0.49103081226348877,0.8218830227851868,0.5307402610778809,0.8093207478523254,0.001
4,0.4717194139957428,0.828594446182251,0.5076212286949158,0.8182794451713562,0.001
5,0.45470336079597473,0.8336797952651978,0.5142796039581299,0.8198134899139404,0.001
6,0.438814252614975,0.8393096923828125,0.49910587072372437,0.824384868144989,0.001
7,0.425288587808609,0.8438351154327393,0.5190359950065613,0.8180646896362305,0.001
8,0.41232237219810486,0.8488283753395081,0.5070453882217407,0.8211941123008728,0.001
9,0.3998009264469147,0.8532233834266663,0.537134051322937,0.818095326423645,0.001
10,0.3583449125289917,0.868893563747406,0.5491507649421692,0.8163158893585205,0.000100000005
11,0.3508935868740082,0.8705580234527588,0.542087197303772,0.8179419636726379,0.000100000005
12,0.3465016782283783,0.8724678754806519,0.5535619854927063,0.8162238597869873,0.000100000005
13,0.34211307764053345,0.8739252090454102,0.5564315915107727,0.8148738741874695,0.000100000005
14,0.336418479681015,0.8753672242164612,0.5571797490119934,0.8156102299690247,1.0000001e-05
15,0.3364660143852234,0.8763259649276733,0.5593527555465698,0.8157942891120911,1.0000001e-05
16,0.33524608612060547,0.8761188983917236,0.5629122257232666,0.8145057559013367,1.0000001e-05
17,0.33434295654296875,0.8765407204627991,0.5600196123123169,0.8154568076133728,1.0000001e-05
18,0.3341337740421295,0.8773767948150635,0.560177206993103,0.8151500225067139,1.0000001e-06
19,0.3341953456401825,0.8759501576423645,0.5604409575462341,0.8149352669715881,1.0000001e-06
20,0.3354429304599762,0.8768398761749268,0.5602014660835266,0.8151193261146545,1.0000001e-06
21,0.33375972509384155,0.8767555356025696,0.5604605674743652,0.8149659633636475,1.0000001e-06
22,0.3345538377761841,0.8759808540344238,0.5604400038719177,0.814996600151062,1.0000001e-07
23,0.3334818482398987,0.8772924542427063,0.5604407787322998,0.8150272965431213,1.0000001e-07
24,0.3328262269496918,0.8768552541732788,0.5604789853096008,0.8150272965431213,1.0000001e-07
